Data;Nível (cm)
04/11/2018;550             
04/11/2018;549             
04/11/2018;549             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;549             
04/11/2018;550             
04/11/2018;549             
04/11/2018;550             
04/11/2018;549             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;551             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;551             
04/11/2018;551             
04/11/2018;551             
04/11/2018;550             
04/11/2018;551             
04/11/2018;550             
04/11/2018;550             
04/11/2018;550             
04/11/2018;551             
04/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;551             
05/11/2018;552             
05/11/2018;551             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;551             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;552             
05/11/2018;553             
05/11/2018;552             
05/11/2018;553             
05/11/2018;553             
05/11/2018;552             
05/11/2018;553             
05/11/2018;552             
05/11/2018;553             
05/11/2018;553             
05/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;553             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;553             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;554             
06/11/2018;555             
06/11/2018;555             
06/11/2018;555             
06/11/2018;556             
06/11/2018;556             
06/11/2018;557             
06/11/2018;556             
06/11/2018;556             
06/11/2018;555             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;556             
06/11/2018;557             
06/11/2018;557             
06/11/2018;557             
06/11/2018;557             
06/11/2018;557             
06/11/2018;558             
06/11/2018;558             
06/11/2018;558             
06/11/2018;558             
06/11/2018;559             
06/11/2018;559             
06/11/2018;559             
06/11/2018;559             
06/11/2018;559             
06/11/2018;559             
06/11/2018;559             
06/11/2018;560             
06/11/2018;560             
06/11/2018;560             
06/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
07/11/2018;560             
